2019-06-09 14:23:52.503	        76c88310	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-09 14:24:58.033	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 300000 <0c1cd46df6ccff90ec4ab493281f2583c344cd62216c427628990fe9db1bb8b6>
2019-06-09 14:24:58.052	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 325000 <4260d56368267bc2a70dd58d73c5ecf23b4e4d96e63c29a868e4a679b0741c7f>
2019-06-09 14:24:58.058	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 350000 <74da79f6a136969abd6364bd3d37af273c408d6471e8ab598e80569b42415f86>
2019-06-09 14:24:58.071	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 375000 <c80c23e387585e12ffb6649d678e9ba328181797b9583a6d8911b77e25375737>
2019-06-09 14:24:58.090	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 400000 <1b2b0e7a30e59691491529a3d506d1ba3d6052d0f6b52198b7330b28a6f1b6ac>
2019-06-09 14:24:58.101	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 450000 <4d098b511ca97723e81737c448343cfd4e6dadb3d8a0e757c6e4d595e6e48357>
2019-06-09 14:24:58.113	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 500000 <2428f0dbe49796be05ed81b347f53e1f7f44aed0abf641446ec2b94cae066b02>
2019-06-09 14:24:58.126	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 550000 <c2e80a636438bd9f7a7ab432a6ad297e35540d80ff5b868bca098124cad2ff8c>
2019-06-09 14:24:58.138	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 600000 <f5828ebf7d7d1cb61762c4dfe3ccf4ecab2e1aad23e8113668d981713b7a54c5>
2019-06-09 14:24:58.152	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 650000 <1d567f2b491324375a825895c5e7b52857b38e4fed0e42c40909c2d52240b4e0>
2019-06-09 14:24:58.171	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 700000 <12be9b3d210b93f574d2526abb9c1ab2a881b479131fd0d4f7dac93875f503cd>
2019-06-09 14:24:58.190	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 800000 <2ced10aa85357ab6c14bb12b6b56d1dde28940820dda30911b73a5cc9a301760>
2019-06-09 14:24:58.203	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 850000 <00e2b557dde9fd4a9e2e3dd7ddac962f5ca475eb1095bc50aa757fd1218ab0a5>
2019-06-09 14:24:58.224	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 900000 <d9958d0e7dcf91a5a7b11de225927bf7efc6eb26240315ce12372be902cc1337>
2019-06-09 14:24:58.238	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 913193 <5292d5d56f6ba4de33a58d9a34d263e2cb3c6fee0aed2286fd4ac7f36d53c85f>
2019-06-09 14:24:58.244	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 913269 <f8302e6b8ba1c49aad9a854b8d6c79d8272c6239dcbba5a75ed0784c1d4f56a1>
2019-06-09 14:24:58.263	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 1288616 <875ac1bc7aa6c5eedc5410abb9c694034f9e7f79dce4c60698baf37009cb6365>
2019-06-09 14:24:58.284	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 1680000 <898c0e0b338edc5edd850d241578027f489167cf7b3edb33ed9d08274e15e20e>
2019-06-09 14:24:58.284	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:591	[check_and_resize_for_batch] checking DB size
2019-06-09 14:24:58.284	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:559	DB map size:     112474759168
2019-06-09 14:24:58.284	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:560	Space used:      75370708992
2019-06-09 14:24:58.284	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:561	Space remaining: 37104050176
2019-06-09 14:24:58.285	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:562	Size threshold:  0
2019-06-09 14:24:58.285	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:564	Percent used: 0.6701  Percent threshold: 0.9000
2019-06-09 14:24:58.285	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 1 <771fbcd656ec1464d3a02ead5e18644030007a0fc664c0a964d30922821a8148>
2019-06-09 14:24:58.285	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 10 <c0e3b387e47042f72d8ccdca88071ff96bff1ac7cde09ae113dbb7ad3fe92381>
2019-06-09 14:24:58.292	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 100 <ac3e11ca545e57c49fca2b4e8c48c03c23be047c43e471e1394528b1f9f80b2d>
