IP_Address	City	Region	Country	Latitude	Longitude
71.38.143.58	Las Vegas	Nevada	US	36.0021	-115.147
45.76.154.58	Singapore	None	SG	1.2929	103.8547
172.105.205.58	None	None	JP	35.69	139.69
95.165.96.59	Balashikha	Moscow Oblast	RU	55.8	37.94
90.175.204.59	Murcia	Murcia	ES	37.9881	-1.1247
184.75.221.59	Toronto	Ontario	CA	43.6934	-79.4857
78.20.246.59	Aalst	Flanders	BE	50.9341	4.0392
86.14.247.59	Bangor	Northern Ireland	GB	54.6534	-5.6689
37.59.55.60	None	None	FR	48.8582	2.3387
37.59.55.60	None	None	FR	48.8582	2.3387
5.8.101.60	Cusago	Lombardy	IT	45.45	9.0374
89.247.109.60	Frankfurt am Main	Hesse	DE	50.1049	8.6295
106.38.115.60	Beijing	Beijing	CN	39.9288	116.3889
94.113.253.60	Prague	Hlavni mesto Praha	CZ	50.0833	14.4667
95.217.11.61	None	None	DE	51.2993	9.491
92.222.150.61	Paris	Île-de-France	FR	48.8607	2.3281
95.217.11.62	None	None	DE	51.2993	9.491
158.69.25.62	Montreal	Quebec	CA	45.4995	-73.5848
185.217.93.62	None	None	NL	52.3824	4.8995
73.254.132.62	Redmond	Washington	US	47.6722	-122.1257
95.217.11.63	None	None	DE	51.2993	9.491
163.172.130.63	None	None	GB	51.4964	-0.1224
45.72.142.63	Toronto	Ontario	CA	43.64	-79.433
71.127.156.63	Crofton	Maryland	US	39.013	-76.6742
173.212.197.63	Nuremberg	Bavaria	DE	49.405	11.1617
95.215.205.63	Dronten	Provincie Flevoland	NL	52.5275	5.727
159.89.152.64	San Francisco	Texas	US	29.8935	-102.404
51.68.215.64	None	None	FR	48.8582	2.3387
95.217.11.65	None	None	DE	51.2993	9.491
73.93.12.65	Santa Maria	California	US	34.9504	-120.4964
54.39.75.65	None	None	CA	43.6319	-79.3716
54.39.75.65	None	None	CA	43.6319	-79.3716
144.91.94.65	Nuremberg	Bavaria	DE	49.405	11.1617
75.140.95.65	Pasadena	California	US	34.1424	-118.1257
178.79.177.65	London	England	GB	51.5132	-0.0961
51.89.181.65	None	None	FR	48.8582	2.3387
159.69.36.66	None	None	DE	51.2993	9.491
54.248.63.66	Tokyo	Tokyo	JP	35.6882	139.7532
54.39.75.66	None	None	CA	43.6319	-79.3716
54.39.75.66	None	None	CA	43.6319	-79.3716
77.153.159.66	Fontenay-sous-Bois	Île-de-France	FR	48.855	2.4836
24.177.8.67	East Longmeadow	Massachusetts	US	42.0686	-72.5006
54.39.75.67	None	None	CA	43.6319	-79.3716
54.39.75.67	None	None	CA	43.6319	-79.3716
88.215.120.67	Neumünster	Schleswig-Holstein	DE	54.0893	9.9779
84.227.172.67	Gordevio	Ticino	CH	46.226	8.7431
212.83.175.67	None	None	FR	48.8582	2.3387
95.216.209.67	None	None	DE	51.2993	9.491
157.7.223.67	None	None	JP	35.69	139.69
158.69.255.67	Montreal	Quebec	CA	45.4995	-73.5848
188.27.201.68	Bucharest	Bucuresti	RO	44.4354	26.1033
110.23.209.68	Bexley	New South Wales	AU	-33.9505	151.1195
96.51.227.68	Calgary	Alberta	CA	51.1564	-114.0566
116.202.23.69	None	None	DE	51.2993	9.491
63.250.36.69	None	None	US	37.751	-97.822
123.172.68.69	None	None	CN	34.7725	113.7266
